SekineRisa , そわんわん
Ohmwrecker / Maskedgamer , CaRtOoNz
ラファエル Raphael , 1GAME TV パチンコパチスロ実践動画
neoちゃんねる , 遠藤一郎
さとちんゲーム , さとちんTV
日テレ公式チャンネル , neko ippaiattena
モルモル雑学 , 世界ゆっくり紀行
レトルト , フジ工房
パオパオチャンネル , 東海オンエア
コロコロチャンネル【公式】 , Shinnosuke - Cậu bé bút chì
ぽこにゃん , ぴくとはうす
ハセシン / XxHASESHINxX , Rush GreedZz
PINOY LIKES , ftwdoc.txt
HikakinGames , ぐっちの部屋(ミラクルぐっち)
水溜りボンド , はじめしゃちょー（hajime）
キチガイピーポー　黒川編突入 , イワンくん
おかりん /OkarinGames , Fischer's-フィッシャーズ-
再生回数180万回 , スライド劇場おもしろ
さとみ , レトルト
KUN , さとみ
水溜りボンドの日常 , ポッキー / PockySweets
たくっち , ぐっちの部屋(ミラクルぐっち)
ポッキー / PockySweets , HikakinTV
FL-Haruki , きょんくま
水溜りボンドの日常 , HikakinTV
てんちむCH/ tenchim , さくまみおsakumamio2
パトパトチャンネル , とらいあんぐる
コレコレチャンネル KoreTube , 【Moff】もふ
水溜りボンドの日常 , 水溜りボンド
キヨ。 , 今日の動画
レトルト , キヨ。
ぺいんとチャンネルゥ , Fischer's-フィッシャーズ-
なさんのお部屋 , ex-net
ミナミノツドイ , ポッキー / PockySweets
おかりん /OkarinGames , ミナミノツドイ
兄者弟者 , Nintendo 公式チャンネル
おるたなChannel , つるなか
にゅるい/ルイ幹雄 , えらてんチャンネル
ぐっちの部屋(ミラクルぐっち) , ゆらりママchannel
あっさりしょこ , ディスカバリーチャンネル
水溜りボンドの日常 , SekineRisa
キヨ。 , フジ工房
あっさりしょこ , べるくら企画
AHATO , FORESTちゃんねる
katusarby , レトルト
ぽこにゃん , ゴウキ/Gouki BOOK
てんちむCH/ tenchim , 八丈冒険団
おかりん /OkarinGames , おるたなChannel
Gamers Channel EX / ゲーマーズチャンネルEX , Yorozu館
Pretz / 実況うますぎ人間 , Fischer's-セカンダリ-
iwabi74 , sva161620
プリコ（Precor） , いしばっちゃんねる
Gamers Channel EX / ゲーマーズチャンネルEX , Shiromi
水溜りボンド , Fischer's-フィッシャーズ-
畜家 , Canhel@ゲーム実況局
ぺいんとチャンネルゥ , キヨ。
東海オンエアの控え室 , 東海オンエア
兄者弟者 , 東海オンエア
Nintendo 公式チャンネル , ラバーガール Official YouTube Channel
ぽこにゃん , はじめしゃちょー（hajime）
コロコロチャンネル【公式】 , テレペガ/TVPegachan
HikakinGames , はじめしゃちょー（hajime）
水溜りボンドの日常 , 東海オンエアの控え室
Fischer's-セカンダリ- , けーてぃーじー KTG
Nintendo 公式チャンネル , iwabi74
はじめしゃちょー（hajime） , いおりくんTV（IORIKUN TV）
牛沢 , killinghope818
