水溜りボンドの日常 , HikakinTV
パオパオチャンネル , Fischer's-フィッシャーズ-
AHATO , ぴくとはうす
KTG Games , おるたなChannel
あっさりしょこ , OchiDO
ぺいんとチャンネルゥ , Lucky K
あまり驚かないガッチマンはホラーゲームばかりやっている , 利根川
牛沢 , MaGiCiAn 1610
はじめしゃちょーの畑 , Fischer's-フィッシャーズ-
ふうはや , ぴくとはうす
Red Arcade , Crainer
こうじょうちょー , HIMAWARIちゃんねる
AHATO , たくっち
水溜りボンドの日常 , ポッキー / PockySweets
テレペガ/TVPegachan , ヤンマー
東海オンエアの控え室 , 水溜りボンド
虫眼鏡の放送部 , 水溜りボンド
てんちむCH/ tenchim , ミラクルチキン
レトルト , フジ工房
ぺいんとチャンネルゥ , ふうはや
えとなch , NoRqNeko【のらねこ】
水溜りボンドの日常 , スカイピース
Vincent Grijalva , LOST NEWS
おるたなChannel , KTG Games
兄者弟者 , 東海オンエア
Coko3TA , 1GAME TV パチンコパチスロ実践動画
トムの実況チャンネル , Fischer's-フィッシャーズ-
ゆきや , ぴくとはうす
サウザー【スマブラ帝王学】 , Star（カレン）
ハセシン / XxHASESHINxX , ななか
PINOY LIKES , ESC - CSGO Highlights
キヨ。 , HikakinGames
Red Arcade , RanGO Games
ホワイトキュレム , TheImpenetrableDarkness
いおりくんTV（IORIKUN TV） , PDK Films
Fischer's-フィッシャーズ- , はじめしゃちょーの畑
Fischer's-フィッシャーズ- , 東海オンエア
キヨ。 , フジ工房
ぺいんとチャンネルゥ , Fischer's-フィッシャーズ-
桜鷹虎 , 1GAME TV パチンコパチスロ実践動画
ぺいんとチャンネルゥ , 死神の巣
兄者弟者 , ujinujin bb
Fischer's-セカンダリ- , 野球 Japan Channel
Vincent Grijalva , AvtoDor
てんちむCH/ tenchim , BOXING ch
たくっち , ぴくとはうす
おかりん /OkarinGames , Fischer's-フィッシャーズ-
ぺいんとチャンネルゥ , 死神の遊び場
キヨ。 , 水溜りボンド
ぐっちの部屋(ミラクルぐっち) , たくっち
キチガイピーポー　黒川編突入 , LOVE LOVE 09
おるたなChannel , Fischer's-フィッシャーズ-
AHATO , Fate Games
AHATO , カズゲームズ/Gaming Kazu
トムの実況チャンネル , Red Arcade
ゆらりママchannel , ASOBOOM!（あそぶーむ！)
しょうじ , BOXING ch
桜鷹虎 , メガネのパチンカス実践記
HikakinTV , プリンセス姫スイートＴＶ Princess Hime Suite TV
ゆきや , ぐにすけちゃんねる
AJ Nguyen Gaming , o Knightz o
Nintendo 公式チャンネル , Gamers Channel EX / ゲーマーズチャンネルEX
牛沢 , ペコ
ぴよちゃれ!ろこ/キジ彦 , つるなか
コロコロチャンネル【公式】 , Shinnosuke - Cậu bé bút chì
たくっち , 畜家
絶対待機 , ゆーせいfamily
ミナミノツドイ , ポッキー / PockySweets
レトルト , キヨ。
水溜りボンド , はじめしゃちょー（hajime）
TOMIKKU NET , Awesome Funny
AJ Nguyen Gaming , IGN
AGARUTV（アガるTV） , 吉本興業チャンネル
AGARUTV（アガるTV） , たどころけいた
東海オンエア , 東海オンエアの控え室
しょうじ , Lucky K
ラバーガール Official YouTube Channel , 東京03 Official YouTube Channel
牛沢 , レトルト
フジ工房 , 蜘蛛助伴太郎
キチガイピーポー　黒川編突入 , イワンくん
KTG Games , つるなか
ぐっちの部屋(ミラクルぐっち) , ぴくとはうす
レトルト , 水溜りボンド
キチガイピーポー　黒川編突入 , Alonso Jackeline
利根川 , moshe mcardle
MaGiCiAn 1610 , 이한별
Fischer's-フィッシャーズ- , おかりん /OkarinGames
テレペガ/TVPegachan , とぅーん
NoRqNeko【のらねこ】 , Tatu#
AHATO , Fischer's-セカンダリ-
ぐっちの部屋(ミラクルぐっち) , コロコロチャンネル【公式】
たくっち , こうじょうちょー
ポッキー / PockySweets , レトルト
Fischer's-セカンダリ- , タカモリ
HikakinGames , LINK GAMESリンクゲームズ
主チャンネル/ゆっくり実況・ゆっくり茶番 , 黒透sub
AHATO , よいよいんぐ！
ラバーガール Official YouTube Channel , 吉本興業チャンネル
Canhel@ゲーム実況局 , ぽこにゃん
HikakinTV , Eric Ligon
ぴくとはうす , こうじょうちょー
てんちむCH/ tenchim , Balance and Posture
iwabi74 , MoronicTAS
キヨ。 , レトルト
コレコレチャンネル KoreTube , ふぇいたん
